,Song,Writer(s),Original release,Producer(s),Year,Ref.
46,"""Hard Times are Over"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
47,"""Help Me to Help Myself"" #",John Lennon,Double Fantasy (2000 reissue),John Lennon Yoko Ono Jack Douglas,2000,[42]
48,"""Here We Go Again""",John Lennon Phil Spector,Menlove Ave.,John Lennon Phil Spector,1986,[27]
49,"""Hold On""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
50,"""Honey Don't""",Carl Perkins †,John Lennon Signature Box,–,2010,[43]
51,"""Hound Dog"" (live)",Jerry Leiber Mike Stoller †,Live in New York City,Yoko Ono,1986,[34]
52,"""How?""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
53,"""How Do You Sleep?""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
54,"""I Don't Wanna Be a Soldier Mama""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
55,"""I Don't Wanna Face It"" #",John Lennon,Milk and Honey,John Lennon Yoko Ono,1984,[32]
56,"""I Found Out""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
57,"""I Know (I Know)""",John Lennon,Mind Games,John Lennon,1973,[25]
58,"""I Saw Her Standing There""[d] (live)",John Lennon Paul McCartney,Lennon,–,1990,[44]
59,"""I'm Losing You"" #",John Lennon,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
60,"""I'm Moving On"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
61,"""I'm Stepping Out"" #",John Lennon,Milk and Honey,John Lennon Yoko Ono,1984,[32]
62,"""I'm the Greatest""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
63,"""I'm Your Angel"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
64,"""Imagine""",John Lennon Yoko Ono[g],Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
65,"""Instant Karma!""",John Lennon,Non-album single,Phil Spector,1970,[46]
66,"""India, India""",John Lennon,John Lennon Signature Box,–,2010,[43]
67,"""Intuition""",John Lennon,Mind Games,John Lennon,1973,[25]
68,"""Isolation""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
69,"""It's Real""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
70,"""It's So Hard""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
71,"""Jamrag"" (live) # (with the Mothers of Invention)",John Lennon Yoko Ono,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
72,"""Jealous Guy""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
73,"""John & Yoko"" #",John Lennon Yoko Ono,Wedding Album,John Lennon Yoko Ono,1969,[26]
74,"""John Sinclair"" # (with Elephant's Memory)",John Lennon,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
75,"""Just Because""",Lloyd Price †,Rock 'n' Roll,Phil Spector,1975,[24]
76,"""(Just Like) Starting Over"" #",John Lennon,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
77,"""A Kiss Is Just a Kiss""",Herman Hupfeld †,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
78,"""Kiss Kiss Kiss"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
79,"""Let Me Count the Ways"" #",Yoko Ono †,Milk and Honey,John Lennon Yoko Ono,1984,[32]
80,"""Life Begins at 40""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
81,"""Long Lost John""",Traditional arr. John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
