,Song,Artist,Writer(s),Original release,Year,Ref.
139,"""FourFiveSeconds""","Rihanna, Kanye West and Paul McCartney",Kanye West Paul McCartney Kirby Lauryen Mike Dean Ty Dolla Sign Dave Longstreth Dallas Austin Elon Rutberg Noah Goldstein,Non-album single,2015,[112]
140,"""Frank Sinatra's Party""",Paul McCartney,Paul McCartney,Egypt Station (Explorer's edition),2019,[113]
141,"""Free Now""",Paul McCartney,Paul McCartney The Beatles Super Furry Animals,Liverpool Sound Collage,2000,[114]
142,"""Freedom"" (live)",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
143,"""Friends to Go""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
144,"""From a Lover to a Friend""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
145,"""Front Parlour""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
146,"""Frozen Jap""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
147,"""Fuh You""",Paul McCartney,Paul McCartney Ryan Tedder,Egypt Station,2018,[68]
148,"""Get Enough""",Paul McCartney,Paul McCartney Ryan Tedder,Non-album single,2019,[115]
149,"""Get It""",Paul McCartney and Carl Perkins,Paul McCartney,Tug of War,1982,[73]
150,"""Get Me Out of Here""",Paul McCartney,Paul McCartney,New (Deluxe edition),2013,[116]
151,"""Get on the Right Thing""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway,1973,[77]
152,"""Get Out of My Way""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
153,"""Get Started""",Paul McCartney,Paul McCartney,Egypt Station (Explorer's edition),2019,[113]
154,"""Get Yourself Another Fool"" (Sam Cooke cover)",Paul McCartney,Haywood Henry Monroe Tucker †,Kisses on the Bottom,2012,[49]
155,"""Getting Closer""",Wings,Paul McCartney,Back to the Egg,1979,[51]
156,"""The Girl Is Mine""",Michael Jackson and Paul McCartney,Michael Jackson †,Thriller (Michael Jackson album),1982,[117]
157,"""Girlfriend""",Wings,Paul McCartney,London Town,1978,[70]
158,"""Girls' School""",Wings,Paul McCartney,"B-side to ""Mull of Kintyre""",1977,[118]
159,"""Give Ireland Back to the Irish""[j]",Wings,Paul McCartney Linda McCartney,Non-album single,1972,[120]
160,"""The Glory of Love"" (Benny Goodman cover)",Paul McCartney,Billy Hill †,Kisses on the Bottom,2012,[49]
161,"""Go Now"" (live) (Bessie Banks cover)",Wings,Larry Banks Milton Bennett †,Wings over America,1976,[121]
162,"""Going to New Orleans (My Carnival)""",Wings,Paul McCartney Linda McCartney,Venus and Mars (Archive Collection),2014,[46]
163,"""Golden Earth Girl""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
164,"""Good Day Sunshine""[g]",Paul McCartney,John Lennon Paul McCartney,Give My Regards to Broad Street,1984,[72]
165,"""Good Rockin' Tonight"" (live) (Roy Brown cover)",Paul McCartney,Roy Brown †,Unplugged (The Official Bootleg),1991,[52]
166,"""Good Sign""",Paul McCartney,Paul McCartney,"B-side to ""This One""",1989,[110]
167,"""Good Times Coming/Feel the Sun""",Paul McCartney,Paul McCartney,Press to Play,1986,[60]
168,"""Goodbye""[k] (demo)",Paul McCartney,John Lennon Paul McCartney,Abbey Road (Super Deluxe edition),2019,[123]
169,"""Goodnight Princess""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[72]
170,"""Goodnight Tonight""",Wings,Paul McCartney,Non-album single,1979,[101]
171,"""Gratitude""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
172,"""Great Cock and Seagull Race"" (Dixon Van Winkle Mix)",Paul and Linda McCartney,Paul McCartney,Ram (Archive Collection),2012,[124]
173,"""Great Day""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
174,"""Growing Up, Falling Down""",Paul McCartney,Paul McCartney,"B-side to ""Fine Line""",2005,[94]
175,"""Hand in Hand""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
176,"""Hanglide""",Paul McCartney,Paul McCartney,"B-side to ""Press""",1986,[125]
177,"""Happy with You""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
178,"""Heal the Pain""",George Michael with Paul McCartney,George Michael †,Non-album single,2008,[126]
179,"""Heart of the Country""",Paul and Linda McCartney,Paul McCartney Linda McCartney,Ram,1971,[44]
180,"""Heather""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
181,"""Heaven on a Sunday""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
182,"""Helen Wheels""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Non-album single,1973,[97]
183,"""Hell to Pay""",Paul McCartney,Paul McCartney,New (Collector's Edition),2014,[103]
184,"""Here Today""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
185,"""Here, There and Everywhere""[g]",Paul McCartney,John Lennon Paul McCartney,Give My Regards to Broad Street,1984,[72]
186,"""Hey Diddle"" (Dixon Van Winkle Mix)",Paul and Linda McCartney,Paul McCartney Linda McCartney,Ram (Archive Collection),2012,[124]
187,"""Hey Hey""",Paul McCartney,Paul McCartney Stanley Clarke,Pipes of Peace,1983,[65]
188,"""Hi, Hi, Hi""",Wings,Paul McCartney Linda McCartney,Non-album single,1972,[85]
189,"""Hi-Heel Sneakers"" (live) (Tommy Tucker cover)",Paul McCartney,Robert Higginbotham †,Unplugged (The Official Bootleg),1991,[52]
190,"""Highway""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
191,"""Hold Me Tight/Lazy Dynamite/Hands of Love/Power Cut""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway,1973,[77]
192,"""Home Tonight""",Paul McCartney,Paul McCartney,Non-album single,2019,[127]
193,"""Home (When Shadows Fall)"" (Peter van Steeden cover)",Paul McCartney,Peter van Steeden Jeff Clarkson Harry Clarkson †,Kisses on the Bottom,2012,[49]
194,"""Honey Hush"" (Big Joe Turner cover)",Paul McCartney,Lou Willie Turner †,Run Devil Run,1999,[56]
195,"""Hope for the Future""[l]",Paul McCartney,Paul McCartney,Non-album single,2014,[128]
196,"""Hope of Deliverance""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
197,"""Hosanna""",Paul McCartney,Paul McCartney,New,2013,[59]
198,"""Hot as Sun/Glasses""",Paul McCartney,Paul McCartney,McCartney,1970,[108]
199,"""House of Wax""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
200,"""How Kind of You""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
201,"""How Many People""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[104]
202,"""However Absurd""",Paul McCartney,Paul McCartney Eric Stewart,Press to Play,1986,[60]
203,"""Hunt You Down/Naked/C-Link""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
204,"""I Am Your Singer""",Wings,Paul McCartney Linda McCartney,Wild Life,1971,[80]
205,"""I Can Bet""",Paul McCartney,Paul McCartney,New,2013,[59]
206,"""I Can't Imagine""",Paul McCartney,Paul McCartney,"B-side to ""C'Mon People""",1993,[106]
207,"""I Do""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
208,"""I Don't Know""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
209,"""I Don't Want to Confess"" (demo)",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt (Archive Collection),2017,[129]
210,"""I Got Stung"" (Elvis Presley cover)",Paul McCartney,David Hill Aaron Schroeder †,Run Devil Run,1999,[56]
211,"""I Lie Around""",Paul McCartney and Wings,Paul McCartney Linda McCartney,"B-side to ""Live and Let Die""",1973,[130]
212,"""I Lost My Little Girl"" (live)",Paul McCartney,Paul McCartney,Unplugged (The Official Bootleg),1991,[52]
213,"""I Love This House""",Paul McCartney,Paul McCartney,Oobu Joobu,1995,[63][64]
214,"""I Owe It All to You""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
215,"""I Wanna Cry""",Paul McCartney,Paul McCartney,"B-side to ""This One""",1989,[110]
216,"""(I Want to) Come Home""",Paul McCartney,Paul McCartney,Non-album single,2010,[131]
217,"""I Want to Walk You Home"" (Fats Domino cover)",Paul McCartney and Allen Toussaint,Antoine Domino Dave Bartholomew †,Goin' Home: A Tribute to Fats Domino,2007,[132]
218,"""I Want You to Fly""",Paul McCartney,Paul McCartney,"B-side to ""Jenny Wren"" (CD single)",2005,[133]
219,"""I Would Only Smile""",Paul McCartney and Wings,Denny Laine †,Red Rose Speedway (Archive Collection),2018,[42]
220,"""I'll Give You a Ring""",Paul McCartney,Paul McCartney,"B-side to ""Take It Away""",1982,[134]
221,"""I'm Carrying""",Wings,Paul McCartney,London Town,1978,[70]
222,"""I'm Gonna Be a Wheel Someday"" (Bobby Mitchell & the Toppers cover)",Paul McCartney,Antoine Domino Dave Bartholomew Roy Hayes †,CHOBA B CCCP,1988,[53]
223,"""I'm Gonna Sit Right Down and Write Myself a Letter"" (Fats Waller cover)",Paul McCartney,Fred E. Ahlert Joe Young †,Kisses on the Bottom,2012,[49]
224,"""I'm in Love Again"" (Fats Domino cover)",Paul McCartney,Antoine Domino Dave Bartholomew †,"B-side to ""This One""",1989,[110]
225,"""I'm Partial to Your Abracadabra"" (Ian Dury cover)",Paul McCartney and The Blockheads,Ian Dury Chaz Jankel †,Brand New Boots and Panties: A Tribute to Ian Dury,2001,[135]
226,"""I've Had Enough""",Wings,Paul McCartney,London Town,1978,[70]
227,"""I've Only Got Two Hands"" (hidden track)",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
228,"""If You Wanna""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
229,"""In a Hurry""",Paul McCartney,Paul McCartney,Non-album single,2019,[127]
230,"""In Private""",Paul McCartney,Paul McCartney,Memory Almost Full (2-CD edition),2007,[43]
231,"""In the Blink of an Eye""",Paul McCartney,Paul McCartney,Ethel & Ernest (soundtrack),2016,[136]
232,"""The Inch Worm"" (Danny Kaye cover)",Paul McCartney,Frank Loesser †,Kisses on the Bottom,2012,[49]
233,"""Indeed I Do""",Wings,Paul McCartney Linda McCartney,Wild Life (Archive Collection),2018,[50]
234,"""Is This Love?""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
235,"""It's Not On"" (demo)",Paul McCartney,Paul McCartney,Pipes of Peace (Archive Collection),2015,[89]
236,"""It's Not True""",Paul McCartney,Paul McCartney,"B-side to ""Press""",1986,[125]
237,"""It's Now or Never"" (Elvis Presley cover)",Paul McCartney,Aaron Schroeder Wally Gold Eduardo di Capua †,The Last Temptation of Elvis,1990,[137]
238,"""It's Only a Paper Moon"" (Claire Carleton cover)",Paul McCartney,Harold Arlen E. Y. Harburg Billy Rose †,Kisses on the Bottom,2012,[49]
239,"""It's So Easy""[m] (The Crickets cover)",Paul McCartney,Buddy Holly Norman Petty †,Rave On Buddy Holly,2011,[138]
240,"""Jazz Street""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway (Archive Collection),2018,[42]
241,"""Jenny Wren""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
242,"""Jet""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Band on the Run,1973,[74]
243,"""Junior's Farm""",Wings,Paul McCartney Linda McCartney,Non-album single,1974,[139]
244,"""Junk""[n]",Paul McCartney,Paul McCartney,McCartney,1970,[108]
245,"""Just Because"" (Nelstone's Hawaiians cover)",Paul McCartney,Bob Shelton Joe Shelton Sydney Robin †,CHOBA B CCCP,1988,[53]
246,"""Kansas City"" (Little Willie Littlefield cover)",Paul McCartney,Jerry Leiber Mike Stoller †,CHOBA B CCCP,1988,[53]
247,"""Keep Coming Back to Love""",Paul McCartney,Paul McCartney Hamish Stuart,"B-side to ""C'Mon People""",1993,[106]
248,"""Keep Under Cover""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
249,"""Kicked Around No More""",Paul McCartney,Paul McCartney,"B-side to ""Hope of Deliverance""",1992,[78]
250,"""The Kiss Of Venus""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
251,"""Kreen-Akrore""",Paul McCartney,Paul McCartney,McCartney,1970,[108]
252,"""Lalula""",Paul McCartney,Paul McCartney,Twin Freaks,2005,[140]
253,"""Lawdy Miss Clawdy"" (Lloyd Price cover)",Paul McCartney,Lloyd Price †,CHOBA B CCCP,1988,[53]
254,"""Lavatory Lil""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
255,"""Let 'Em In""",Wings,Paul McCartney Linda McCartney,Wings at the Speed of Sound,1976,[76]
256,"""Let Me Roll It""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Band on the Run,1973,[74]
257,"""Let's Love""",Wings,Paul McCartney Linda McCartney,Venus and Mars (Archive Collection),2014,[46]
258,"""Letting Go""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
259,"""Lifelong Passion""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
260,"""Light from Your Lighthouse""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
261,"""Listen to What the Man Said""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
262,"""Little Lamb Dragonfly""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway,1973,[77]
